name,price,emi,kilometer,fuel,transmission,link
2021 Tata Tiago,4.06 lakh,"EMI ₹7,167/m","38,116 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-tiago-2021-cars-bangalore-10227968757/
2015 Renault Duster,3.66 lakh,"EMI ₹12,156/m","76,908 km",Diesel,Manual,https://www.cars24.com/buy-used-renault-duster-2015-cars-bangalore-10278766789/
2013 Honda Brio,1.98 lakh,"EMI ₹9,321/m","74,627 km",Petrol,Manual,https://www.cars24.com/buy-used-honda-brio-2013-cars-bangalore-10224761729/
2015 Maruti Celerio,2.67 lakh,"EMI ₹7,031/m","70,811 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-celerio-2015-cars-bangalore-10200762785/
2021 Maruti New Wagon-R,4.95 lakh,"EMI ₹8,736/m","46,750 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-new-wagon-r-2021-cars-bangalore-10291767760/
2015 Fiat Punto EVO,2.04 lakh,"EMI ₹5,372/m","1,01,160 km",Petrol,Manual,https://www.cars24.com/buy-used-fiat-punto-evo-2015-cars-bangalore-10244703706/
2017 Hyundai Eon,2.65 lakh,"EMI ₹5,181/m","45,834 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-eon-2017-cars-bangalore-10210869745/
2020 Hyundai Verna,7.84 lakh,"EMI ₹13,840/m","72,649 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-verna-2020-cars-bangalore-10260167722/
2013 Hyundai Verna,3.84 lakh,"EMI ₹18,076/m","71,915 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-verna-2013-cars-bangalore-10226069723/
2018 Hyundai Elite i20,5.75 lakh,"EMI ₹11,241/m","6,952 km",Diesel,Manual,https://www.cars24.com/buy-used-hyundai-elite-i20-2018-cars-bangalore-10221542734/
2017 Hyundai Grand i10,3.74 lakh,"EMI ₹7,312/m","77,470 km",Petrol,Auto,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-bangalore-17386945749/
2015 Ford Ecosport,3.71 lakh,"EMI ₹9,770/m","65,643 km",Petrol,Manual,https://www.cars24.com/buy-used-ford-ecosport-2015-cars-bangalore-10269162752/
2021 Mahindra XUV300,7.83 lakh,"EMI ₹13,822/m","59,338 km",Petrol,Auto,https://www.cars24.com/buy-used-mahindra-xuv300-2021-cars-bangalore-10268664745/
2018 Hyundai Elite i20,4.10 lakh,"EMI ₹7,238/m","43,099 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-elite-i20-2018-cars-bangalore-10231762771/
2019 Hyundai VENUE,6.09 lakh,"EMI ₹10,751/m","93,641 km",Diesel,Manual,https://www.cars24.com/buy-used-hyundai-venue-2019-cars-bangalore-10271460786/
2017 Hyundai Eon,2.40 lakh,"EMI ₹4,692/m","81,583 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-eon-2017-cars-bangalore-10210364748/
2025 Maruti Swift,7.72 lakh,"EMI ₹13,628/m","10,229 km",Petrol,Auto,https://www.cars24.com/buy-used-maruti-swift-2025-cars-bangalore-10258464700/
2018 Tata Tiago,3.75 lakh,"EMI ₹6,620/m","30,975 km",Petrol,Manual,https://www.cars24.com/buy-used-tata-tiago-2018-cars-bangalore-10207068747/
2014 Renault Pulse,2.04 lakh,"EMI ₹6,776/m","28,164 km",Petrol,Manual,https://www.cars24.com/buy-used-renault-pulse-2014-cars-bangalore-10237803762/
2015 Maruti Alto K10,2.34 lakh,"EMI ₹6,162/m","35,236 km",Petrol,Manual,https://www.cars24.com/buy-used-maruti-alto-k10-2015-cars-bangalore-10237160791/
2017 Hyundai Grand i10,3.91 lakh,"EMI ₹7,644/m","73,045 km",Petrol,Manual,https://www.cars24.com/buy-used-hyundai-grand-i10-2017-cars-bangalore-23663668753/
